top - 15:03:41 up  5:33,  1 user,  load average: 0.11, 0.39, 1.30
Tasks: 280 total,   1 running, 277 sleeping,   0 stopped,   2 zombie
%Cpu(s):  4.3 us,  1.3 sy,  0.1 ni, 89.2 id,  5.2 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3916032 total,  1384392 free,  1564868 used,   966772 buff/cache
KiB Swap:  4061180 total,  3484468 free,   576712 used.  1894540 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 2544 naluvjyo  20   0  285436   4588   3764 S   0.0  0.1   0:00.35 gvfs-udisk+
 2550 root      20   0  432180   5968   4272 S   0.0  0.2   0:03.25 udisksd
 2559 naluvjyo  20   0  403608   4320   3936 S   0.0  0.1   0:00.01 gvfs-afc-v+
 2565 naluvjyo  20   0  259632   2128   1812 S   0.0  0.1   0:00.01 gvfs-mtp-v+
 2568 naluvjyo  20   0  758588   3796   3532 S   0.0  0.1   0:00.07 goa-daemon
 2573 naluvjyo  20   0  271832   1996   1796 S   0.0  0.1   0:00.00 gvfs-gphot+
 2578 naluvjyo  20   0  257660   2168   1988 S   0.0  0.1   0:00.00 gvfs-goa-v+
 2585 root      20   0  628652  29568   4052 S   0.0  0.8   0:00.58 fwupd
 2588 naluvjyo  20   0  862976   5096   5096 S   0.0  0.1   0:00.11 evolution-+
 2599 naluvjyo  20   0  356848   1956   1956 S   0.0  0.0   0:00.03 goa-identi+
 2607 naluvjyo  20   0  376176   4336   3740 S   0.0  0.1   0:00.15 mission-co+
 2616 naluvjyo  20   0  348152   2940   2940 S   0.0  0.1   0:00.00 gvfsd-burn
 2631 naluvjyo  20   0  350564   3620   3080 S   0.0  0.1   0:00.08 gvfsd-trash
 2646 naluvjyo  20   0  552332   5020   4856 S   0.0  0.1   0:00.05 telepathy-+
 2660 naluvjyo  20   0  187916   3848   2164 S   0.0  0.1   0:00.13 gvfsd-meta+
 2675 naluvjyo  20   0  881536   4856   4272 S   0.0  0.1   0:00.28 evolution-+
 2687 naluvjyo  20   0 1062524   5128   4424 S   0.0  0.1   0:00.42 evolution-+
 2688 naluvjyo  20   0  690568   4864   4864 S   0.0  0.1   0:00.02 evolution-+
 2705 naluvjyo  20   0  766064   3664   3288 S   0.0  0.1   0:00.05 evolution-+
 2715 naluvjyo  20   0  568372   6400   4832 S   0.0  0.2   0:01.43 zeitgeist-+
 2721 naluvjyo  20   0   12528   2736   2732 S   0.0  0.1   0:00.00 sh
 2725 naluvjyo  20   0  410232   5388   4568 S   0.0  0.1   0:00.17 zeitgeist-+
 2734 naluvjyo  20   0  317276   8120   6884 S   0.0  0.2   0:00.22 zeitgeist-+
 2826 naluvjyo  20   0   61300   2588   2588 S   0.0  0.1   0:00.02 gconfd-2
 2883 naluvjyo  20   0  583316   9100   6660 S   0.0  0.2   0:00.38 update-not+
 3384 naluvjyo  20   0  517376   5304   4652 S   0.0  0.1   0:00.09 deja-dup-m+
 3595 root      20   0  274820   3848   3132 S   0.0  0.1   0:00.06 cups-brows+
 4011 root      20   0 1051544   4768   3952 S   0.0  0.1   0:00.19 console-ki+
 4574 naluvjyo  20   0  426672   4496   4076 S   0.0  0.1   0:00.04 gvfsd-netw+
 4581 naluvjyo  20   0  734304   3580   3580 S   0.0  0.1   0:00.04 gvfsd-smb-+
 4588 root      20   0  359908   5548   2992 S   0.0  0.1   0:00.03 smbd
 4591 naluvjyo  20   0  361720   3664   3572 S   0.0  0.1   0:00.03 gvfsd-dnssd
 4649 naluvjyo  20   0  672576  27960  16236 S   0.0  0.7   0:11.07 gnome-term+
 4656 naluvjyo  20   0   23332   3652   3256 S   0.0  0.1   0:00.10 bash
 4684 naluvjyo  20   0   23316   3368   3240 S   0.0  0.1   0:00.11 bash
 4704 naluvjyo  20   0   23308   4320   3260 S   0.0  0.1   0:00.09 bash
 4728 naluvjyo  20   0   23360   4708   3340 S   0.0  0.1   0:00.24 bash
 6580 naluvjyo  20   0 1190300  52400  26208 S   0.0  1.3   0:38.12 sublime_te+
 6593 naluvjyo  20   0  227884  33556   4416 S   0.0  0.9   0:01.65 plugin_host
 6771 naluvjyo  20   0   23300   3564   3288 S   0.0  0.1   0:00.08 bash
 7959 naluvjyo  20   0  207860   4180   3088 S   0.0  0.1   0:00.05 oosplash
 7978 naluvjyo  20   0 1380900 154716  24576 S   0.0  4.0   0:03.93 soffice.bin
 9762 root      20   0       0      0      0 S   0.0  0.0   0:00.45 kworker/0:0
10553 root      20   0       0      0      0 S   0.0  0.0   0:01.61 kworker/u4+
11777 root      20   0       0      0      0 S   0.0  0.0   0:00.33 kworker/1:0
11823 root      20   0  235260  14952   7668 S   0.0  0.4   0:01.38 docker-con+
21596 root      20   0       0      0      0 S   0.0  0.0   0:00.10 kworker/0:1
21599 root      20   0       0      0      0 S   0.0  0.0   0:00.07 kworker/u4+
21723 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/1:1
22002 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kworker/u4+
22003 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:2
22006 root      20   0   91144   5756   4848 S   0.0  0.1   0:00.00 sudo
22007 root      20   0   73280  30276   7300 S   0.0  0.8   0:00.24 python
22010 root      20   0  368096  51412  12756 S   0.0  1.3   0:01.80 python
22078 root      20   0   15676   1104    968 S   0.0  0.0   0:00.00 systemd-ho+
22193 root      20   0       0      0      0 Z   0.0  0.0   0:00.00 adp.sh
22205 root      20   0   41800   3644   3108 R   0.0  0.1   0:00.00 top
22210 root      20   0    7292    700    628 S   0.0  0.0   0:00.00 sleep
22211 root      20   0    7292    680    604 S   0.0  0.0   0:00.00 sleep
22212 root      20   0    7292    648    572 S   0.0  0.0   0:00.00 sleep
22213 root      20   0    7292    704    632 S   0.0  0.0   0:00.00 sleep
22214 root      20   0    7292    756    684 S   0.0  0.0   0:00.00 sleep
22215 root      20   0    7292    708    632 S   0.0  0.0   0:00.00 sleep
22216 root      20   0    7292    676    600 S   0.0  0.0   0:00.00 sleep
22217 root      20   0    7292    684    608 S   0.0  0.0   0:00.00 sleep
22218 root      20   0    7292    660    584 S   0.0  0.0   0:00.00 sleep
22219 root      20   0    7292    680    604 S   0.0  0.0   0:00.00 sleep
22220 root      20   0    7292    668    596 S   0.0  0.0   0:00.00 sleep
22221 root      20   0    7292    812    740 S   0.0  0.0   0:00.00 sleep
22222 root      20   0    7292    708    632 S   0.0  0.0   0:00.00 sleep
22223 root      20   0    7292    660    588 S   0.0  0.0   0:00.00 sleep
22224 root      20   0    7292    644    572 S   0.0  0.0   0:00.00 sleep
22225 root      20   0    7292    672    596 S   0.0  0.0   0:00.00 sleep
22226 root      20   0    7292    672    596 S   0.0  0.0   0:00.00 sleep
22227 root      20   0    7292    708    632 S   0.0  0.0   0:00.00 sleep
22228 root      20   0    7292    648    572 S   0.0  0.0   0:00.00 sleep
22229 root      20   0    7292    700    628 S   0.0  0.0   0:00.00 sleep
