top - 16:49:05 up 20:24,  1 user,  load average: 0.33, 2.20, 4.30
Tasks: 231 total,   2 running, 227 sleeping,   0 stopped,   2 zombie
%Cpu(s): 13.9 us, 16.7 sy,  0.0 ni, 68.9 id,  0.4 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3916032 total,   711884 free,  2043596 used,  1160552 buff/cache
KiB Swap:  4061180 total,  4015580 free,    45600 used.  1280060 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 5381 naluvjyo  20   0  376176   9756   6532 S   0.0  0.2   0:00.16 mission-co+
 5394 root      20   0  628744  32864   7432 S   0.0  0.8   0:00.69 fwupd
 5398 naluvjyo  20   0  403608   8312   7288 S   0.0  0.2   0:00.01 gvfs-afc-v+
 5406 naluvjyo  20   0  259632   4560   3980 S   0.0  0.1   0:00.02 gvfs-mtp-v+
 5411 naluvjyo  20   0  271832   4896   4228 S   0.0  0.1   0:00.00 gvfs-gphot+
 5416 naluvjyo  20   0  257668   4256   3880 S   0.0  0.1   0:00.01 gvfs-goa-v+
 5425 naluvjyo  20   0  348152   5768   5044 S   0.0  0.1   0:00.00 gvfsd-burn
 5433 naluvjyo  20   0  350564   6112   5320 S   0.0  0.2   0:00.06 gvfsd-trash
 5465 naluvjyo  20   0  187800   6320   4456 S   0.0  0.2   0:00.19 gvfsd-meta+
 5470 naluvjyo  20   0  552332  19400  15952 S   0.0  0.5   0:00.05 telepathy-+
 5481 naluvjyo  20   0  815996  47060   8272 S   0.0  1.2   0:00.12 evolution-+
 5493 naluvjyo  20   0 1062524  45200   8660 S   0.0  1.2   0:00.14 evolution-+
 5494 naluvjyo  20   0  690568  13784  10928 S   0.0  0.4   0:00.02 evolution-+
 5511 naluvjyo  20   0  766064  12476   9876 S   0.0  0.3   0:00.04 evolution-+
 5541 naluvjyo  20   0  494704  18284  13156 S   0.0  0.5   0:01.28 zeitgeist-+
 5547 naluvjyo  20   0   12528   2624   2412 S   0.0  0.1   0:00.00 sh
 5554 naluvjyo  20   0  410524   9732   6228 S   0.0  0.2   0:00.14 zeitgeist-+
 5561 naluvjyo  20   0  317272  14064  11536 S   0.0  0.4   0:00.14 zeitgeist-+
 5612 naluvjyo  20   0  583324  32512  27428 S   0.0  0.8   0:00.39 update-not+
 5689 naluvjyo  20   0  435448   6348   5576 S   0.0  0.2   0:00.10 deja-dup-m+
 5720 naluvjyo  20   0  489904  30524  25580 S   0.0  0.8   0:00.61 notify-osd
 5739 root      20   0   16120   2760   1904 S   0.0  0.1   0:00.07 dhclient
 5755 nobody    20   0   52868   3416   3028 S   0.0  0.1   0:00.36 dnsmasq
 6013 naluvjyo  20   0  100060   3244   2956 S   0.0  0.1   0:03.58 adb
 6343 naluvjyo  20   0   61300   4828   4380 S   0.0  0.1   0:00.01 gconfd-2
 6633 root      20   0 1051544   6496   5336 S   0.0  0.2   0:00.14 console-ki+
 7004 naluvjyo  20   0  426920   9212   5984 S   0.0  0.2   0:00.05 gvfsd-netw+
 7019 naluvjyo  20   0  738568  18152  13448 S   0.0  0.5   0:00.04 gvfsd-smb-+
 7034 naluvjyo  20   0  435452   6428   5636 S   0.0  0.2   0:00.02 gvfsd-dnssd
 7093 naluvjyo  20   0  669320  44804  28496 S   0.0  1.1   0:14.42 gnome-term+
 7100 naluvjyo  20   0   23372   6100   3428 S   0.0  0.2   0:00.13 bash
 8355 naluvjyo  20   0 1407400 105620  33892 S   0.0  2.7   1:40.01 sublime_te+
 8846 naluvjyo  20   0  227944  45540   5596 S   0.0  1.2   0:04.76 plugin_host
 9409 naluvjyo  20   0  644912  18656  12836 S   0.0  0.5   0:00.06 unity-scop+
 9762 naluvjyo  20   0  578380  27680  15592 S   0.0  0.7   0:00.30 unity-scop+
 9763 naluvjyo  20   0  638940  13424  10960 S   0.0  0.3   0:00.09 unity-file+
12737 root      20   0       0      0      0 S   0.0  0.0   0:00.19 kworker/u4+
13560 root      20   0       0      0      0 S   0.0  0.0   0:00.05 kworker/1:2
16419 root      20   0       0      0      0 S   0.0  0.0   0:00.02 kworker/u4+
21939 root      20   0       0      0      0 S   0.0  0.0   0:00.11 kworker/0:1
23273 root      20   0       0      0      0 S   0.0  0.0   0:00.11 kworker/1:0
24580 naluvjyo  20   0   23420   6092   3368 S   0.0  0.2   0:00.09 bash
26871 naluvjyo  20   0 1634704 162280  65044 S   0.0  4.1   0:40.49 compiz
28823 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kworker/0:2
29858 naluvjyo  20   0  591736  43480  30588 S   0.0  1.1   0:02.09 gedit
30662 root      20   0       0      0      0 S   0.0  0.0   0:00.11 kworker/u4+
31479 root      20   0       0      0      0 S   0.0  0.0   0:00.23 kworker/1:1

top - 16:49:15 up 20:24,  1 user,  load average: 0.36, 2.14, 4.25
Tasks: 231 total,   1 running, 228 sleeping,   0 stopped,   2 zombie
%Cpu(s):  1.7 us,  1.0 sy,  0.2 ni, 96.8 id,  0.4 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  3916032 total,   711612 free,  2042296 used,  1162124 buff/cache
KiB Swap:  4061180 total,  4015580 free,    45600 used.  1279808 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 6303 naluvjyo  20   0 3386896 990932  86152 S   1.4 25.3  18:59.82 firefox
  948 root      20   0  447744  92512  74728 S   0.9  2.4   2:43.02 Xorg
 1327 root      20   0  293872  49972  12784 S   0.9  1.3   0:00.53 python
 8355 naluvjyo  20   0 1407400 105620  33892 S   0.7  2.7   1:40.08 sublime_te+
26871 naluvjyo  20   0 1634776 162300  65064 S   0.7  4.1   0:40.56 compiz
 7093 naluvjyo  20   0  669320  44804  28496 S   0.4  1.1   0:14.46 gnome-term+
    7 root      20   0       0      0      0 S   0.1  0.0   0:35.39 rcu_sched
  686 avahi     20   0   60756   4252   3968 S   0.1  0.1   0:02.26 avahi-daem+
  773 root      15  -5  238356  11844   2008 S   0.1  0.3   0:01.46 snapd
 1381 root      20   0   41800   3704   3096 R   0.1  0.1   0:00.01 top
 6013 naluvjyo  20   0  100060   3244   2956 S   0.1  0.1   0:03.59 adb
21939 root      20   0       0      0      0 S   0.1  0.0   0:00.12 kworker/0:1
    1 root      20   0  119784   5836   3948 S   0.0  0.1   0:07.86 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   2:51.44 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:+
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0       0      0      0 S   0.0  0.0   0:02.90 migration/0
   10 root      rt   0       0      0      0 S   0.0  0.0   0:00.21 watchdog/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.19 watchdog/1
   12 root      rt   0       0      0      0 S   0.0  0.0   0:02.92 migration/1
   13 root      20   0       0      0      0 S   0.0  0.0   2:48.26 ksoftirqd/1
   15 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:+
   16 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   17 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   18 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 perf
   19 root      20   0       0      0      0 S   0.0  0.0   0:00.02 khungtaskd
   20 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   21 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   22 root      39  19       0      0      0 S   0.0  0.0   0:02.09 khugepaged
   23 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   27 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
   28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
   29 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 devfreq_wq
   34 root      20   0       0      0      0 S   0.0  0.0   0:00.12 kswapd0
   35 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 vmstat
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 fsnotify_m+
   37 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-k+
   53 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
   54 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 acpi_therm+
   55 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   56 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   57 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   58 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   59 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   60 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   61 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   62 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   66 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ipv6_addrc+
   79 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
   80 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 charger_ma+
  117 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
  118 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
  119 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_0
  120 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
  121 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_1
  122 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
  123 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_2
  124 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_3
  125 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_3
  126 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_4
  127 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_4
  128 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_5
  129 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 scsi_tmf_5
  138 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  161 root       0 -20       0      0      0 S   0.0  0.0   0:00.05 kworker/0:+
  163 root       0 -20       0      0      0 S   0.0  0.0   0:00.26 kworker/1:+
  165 root      20   0       0      0      0 S   0.0  0.0   0:00.93 jbd2/sda1-8
  166 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-c+
  201 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
